Time		Cap_one		Cap_two		Cap_three		Cap_four
    0.0000		5297004		2584606		1911153		2386437	
    0.1965		5517859		2590459		1846354		2387998	
    0.3977		5529461		2591348		1840918		2389774	
    0.5942		5514671		2589101		1860293		2388483	
    0.7943		5514514		2590773		1871434		2389129	
    0.9908		5516500		2591348		1841079		2388052	
    1.1920		5512946		2590773		1876062		2384554	
    1.3885		5517755		2589205		1873371		2387406	
    1.5887		5515821		2591766		1839841		2388967	
    1.7853		5510699		2591348		1834352		2381594	
    1.9865		5513051		2591452		1837796		2384123	
    2.1833		5508191		2590355		1857817		2386653	
    2.3832		5513574		2591714		1887687		2387783	
    2.5800		5505682		2590564		1867182		2387406	
    2.7811		5511849		2590564		1810133		2390312	
    2.9783		5517545		2591139		1829023		2385738	
    3.1778		5514985		2592289		1871864		2389344	
    3.3743		5515142		2590878		1785268		2386384	
    3.5719		5503487		2593229		1758896		2386384	
    3.7724		5501606		2591609		1838496		2387729	
    3.9716		5520838		2592132		1865406		2385899	
    4.1693		5506727		2589989		1793018		2388859	
    4.3656		5498575		2587899		1781716		2388805	
    4.5670		5509079		2586749		1868635		2386868	
    4.7633		5518643		2589414		1787420		2385522	
    4.9645		5515089		2590668		1817291		2383101	
    5.1611		5509863		2590616		1824287		2383639	
    5.3615		5511274		2591818		1883812		2391227	
    5.5581		5508034		2590303		1856364		2386168	
    5.7583		5520629		2592654		1787098		2382993	
    5.9549		5501449		2589728		1821004		2388052	
    6.1563		5509027		2588421		1876170		2390044	
    6.3530		5520002		2592864		1807711		2382455	
    6.5539		5510699		2592445		1816645		2388967	
    6.7492		5513103		2589676		1896514		2386168	
    6.9535		5509602		2592864		1903456		2384607	
    7.1475		5516971		2590825		1818905		2385738	
    7.3476		5497738		2589571		1804966		2382939	
    7.5447		5495230		2590146		1819497		2387890	
    7.7413		5507355		2592445		1835374		2382401	
    7.9418		5517023		2593177		1800499		2388375	
    8.1382		5513992		2589676		1821704		2386868	
    8.3387		5516814		2587899		1788443		2389990	
    8.5352		5514567		2589310		1808464		2386653	
    8.7363		5516239		2590146		1779078		2385253	
    8.9325		5505003		2591243		1873533		2384823	
    9.1341		5512476		2594536		1873802		2391227	
    9.3303		5504794		2589362		1734946		2390582	
    9.5305		5510699		2591087		1804105		2393273	
    9.7306		5510752		2591296		1825310		2383208	
    9.9308		5506832		2590721		1744096		2382670	
   10.1270		5509445		2587480		1808464		2382993	
   10.3261		5502651		2592759		1806527		2384984	
   10.5220		5506936		2590512		1798023		2388321	
   10.7221		5511274		2592132		1829131		2385199	
   10.9335		5513365		2591714		1742373		2387675	
   11.1192		5508922		2590825		1737745		2388483	
   11.3162		5505839		2589519		1822404		2384285	
   11.5128		5509863		2591662		1804804		2385361	
   11.7145		5510229		2590093		1771490		2383101	
   11.9111		5504585		2591714		1828808		2380840	
   12.1118		5510960		2589257		1756958		2387299	
   12.3079		5507930		2592968		1820412		2385469	
   12.5082		5508609		2591452		1804266		2385469	
   12.7051		5506780		2590512		1803351		2386975	
   12.9061		5513626		2591348		1790273		2385684	
   13.1025		5518016		2589362		1788874		2384500	
   13.3034		5501815		2591452		1768314		2390258	
   13.5003		5513678		2589519		1787205		2384607	
   13.7001		5516553		2591504		1758412		2387729	
   13.8967		5506362		2587951		1737637		2393380	
   14.0978		5515194		2589466		1766538		2389344	
   14.2944		5517702		2590721		1768207		2384769	
   14.4945		5508243		2591139		1768045		2385307	
   14.6923		5509915		2591714		1820897		2384661	
   14.8927		5510856		2590773		1813900		2382509	
   15.0893		5507198		2591975		1774880		2383746	
   15.2895		5509184		2589623		1842156		2386707	
   15.4864		5508818		2592184		1822296		2385146	
   15.6863		5504794		2588108		1831445		2386545	
   15.8833		5508609		2591348		1781985		2383477	
   16.0808		5497896		2589519		1814008		2390958	
   16.2814		5525855		2589728		1823103		2386168	
   16.4776		5509288		2590355		1718854		2382724	
   16.6778		5499672		2591400		1791350		2387083	
   16.8755		5509549		2592132		1876870		2385253	
   17.0754		5502233		2590825		1833760		2386060	
   17.2719		5519322		2592916		1731663		2386114	
   17.4735		5528573		2592602		1831176		2388052	
   17.6687		5508975		2590982		1815945		2382670	
   17.8704		5505212		2588787		1818206		2389290	
   18.0668		5515978		2589571		1840056		2382239	
   18.2669		5507250		2588160		1819228		2385253	
   18.4634		5511588		2589780		1812770		2388859	
   18.6652		5511483		2592707		1813039		2386437	
   18.8616		5507616		2589153		1739951		2388913	
   19.0621		5507459		2594170		1794525		2385522	
   19.2588		5504689		2587951		1691244		2383047	
   19.4588		5508870		2591034		1769767		2386168	
   19.6555		5498261		2590355		1714387		2381647	
   19.8567		5500926		2589101		1717562		2383477	
   20.0526		5514306		2587063		1728918		2379118	
   20.2542		5506832		2586644		1755290		2383800	
   20.4511		5493297		2585286		1793502		2388967	
   20.6475		5512163		2589989		1784030		2384231	
   20.8492		5500352		2589780		1718477		2384123	
   21.0440		5492094		2589466		1777141		2385792	
   21.2456		5507668		2588630		1727950		2383477	
   21.4419		5499515		2588996		1797054		2385630	
   21.6423		5501763		2591243		1834459		2383585	
   21.8388		5508818		2590041		1739736		2385199	
   22.0411		5518382		2588212		1790811		2385845	
   22.2367		5507146		2591243		1762179		2383316	
   22.4371		5518068		2591504		1774396		2385307	
   22.6351		5511535		2591400		1788335		2376319	
   22.8339		5503278		2591400		1734085		2387890	
   23.0304		5505578		2591923		1786990		2384715	
   23.2320		5512737		2593334		1758519		2385253	
   23.4285		5508086		2591348		1796247		2389344	
   23.6291		5508818		2589623		1732416		2385199	
   23.8254		5510752		2591452		1829831		2386276	
   24.0272		5511274		2592916		1797969		2388267	
   24.2228		5515559		2589101		1795063		2385738	
   24.4238		5501345		2589937		1806042		2387083	
   24.6205		5504951		2590198		1760026		2385630	
   24.8209		5504062		2591243		1766484		2387890	
   25.0176		5498470		2591766		1739037		2386060	
   25.2139		5506048		2590146		1762448		2382616	
   25.4154		5512529		2591191		1806903		2386653	
   25.6110		5505264		2589989		1775311		2384177	
   25.8123		5508713		2590303		1793287		2387245	
   26.0089		5512058		2592445		1869927		2388375	
   26.2094		5500352		2589780		1840810		2388267	
   26.4056		5505264		2591609		1807657		2379064	
   26.6067		5520681		2588212		1901196		2384338	
   26.8040		5513783		2592289		1811263		2389505	
   27.0046		5509915		2590825		1781446		2382562	
   27.2006		5510699		2593647		1796624		2381701	
   27.4024		5515246		2588839		1865567		2387998	
   27.5983		5509445		2591243		1826817		2380894	
   27.7983		5509236		2590930		1829077		2385576	
   27.9948		5507146		2588369		1788928		2385953	
   28.1955		5511065		2589048		1810994		2383746	
   28.3944		5510020		2592289		1835320		2390474	
   28.6028		5491833		2590459		1849367		2384231	
   28.7912		5509707		2591296		1757281		2382939	
   28.9898		5487443		2590825		1826171		2388859	
   29.1920		5513260		2593856		1848883		2382293	
   29.3831		5509341		2588526		1849798		2386868	
   29.5848		5510908		2590616		1802813		2390044	
   29.7812		5506205		2592236		1841241		2383047	
   29.9814		5513312		2591975		1851735		2383854	
   30.1779		5511118		2591139		1840326		2379979	
   30.3792		5500613		2589519		1842963		2383854	
   30.5756		5491049		2589832		1832252		2384607	
   30.7770		5506309		2590355		1849906		2384392	
   30.9735		5510124		2591191		1901250		2385953	
   31.1740		5514932		2588735		1764332		2388805	
   31.3706		5512163		2591714		1876439		2389559	
   31.5714		5511118		2590512		1800714		2385199	
   31.7679		5506936		2592864		1841025		2388913	
   31.9777		5504951		2589623		1815891		2387029	
   32.1648		5506936		2592707		1804320		2387890	
   32.3674		5502860		2593229		1891616		2383423	
   32.5624		5511326		2591504		1842694		2388590	
   32.7625		5510281		2593334		1842532		2389559	
   32.9594		5515246		2588996		1895814		2382186	
   33.1568		5505525		2591766		1827947		2387729	
   33.3566		5505473		2592968		1845008		2385899	
   33.5528		5504689		2589153		1815514		2385630	
   33.7541		5503592		2589832		1873802		2382670	
   33.9507		5515194		2591400		1804697		2382293	
   34.1517		5508609		2591714		1816860		2384231	
   34.3479		5511535		2590564		1821273		2384607	
   34.5491		5508243		2591975		1824341		2384554	
   34.7448		5512476		2590773		1775419		2391012	
   34.9459		5502129		2591087		1840487		2383962	
   35.1426		5501449		2591714		1847322		2384931	
   35.3429		5506362		2589257		1813147		2386707	
   35.5396		5513574		2593125		1780693		2388752	
   35.7405		5509445		2588317		1829400		2386384	
   35.9373		5503749		2591818		1861046		2387621	
   36.1374		5498366		2590512		1797377		2389021	
   36.3342		5505212		2593334		1755505		2387460	
   36.5354		5501031		2591504		1809648		2382778	
   36.7313		5511274		2589832		1762448		2385253	
   36.9287		5513574		2593125		1759219		2388214	
   37.1289		5504010		2589414		1814923		2386114	
   37.3276		5502651		2589205		1841187		2387514	
   37.5264		5510177		2591662		1822727		2384231	
   37.7266		5502912		2592341		1829938		2383047	
   37.9230		5507198		2590668		1779240		2386114	
   38.1205		5510229		2591348		1765301		2384715	
   38.3208		5508818		2589989		1860831		2384877	
   38.5180		5509602		2592916		1776926		2386168	
   38.7186		5508034		2592602		1731232		2383262	
   38.9151		5506623		2588474		1765516		2387621	
   39.1157		5513312		2590459		1899474		2385684	
   39.3122		5501083		2593073		1854050		2382455	
   39.5124		5498157		2586383		1824126		2391604	
   39.7090		5499672		2591975		1792426		2386760	
   39.9127		5504010		2590303		1771867		2385953	
   40.1062		5503278		2591870		1792641		2387029	
   40.3077		5508713		2590878		1953401		2388321	
   40.5037		5509654		2589519		1801037		2382239	
   40.7015		5507355		2590825		1783761		2388267	
   40.9015		5507198		2591139		1801952		2383154	
   41.0977		5513521		2592341		1751092		2381701	
   41.2982		5504794		2591818		1842694		2385522	
   41.4957		5507302		2588787		1813039		2385630	
   41.6959		5506048		2588996		1799745		2384877	
   41.8922		5502756		2590146		1855234		2384446	
   42.0935		5509027		2588996		1813093		2387406	
   42.2899		5491154		2592916		1866913		2380679	
   42.4899		5493662		2591139		1858840		2384769	
   42.6877		5486764		2591296		1920679		2386007	
   42.8877		5507668		2592184		1783222		2385199	
   43.0853		5504846		2589885		1809756		2381325	
   43.2850		5494655		2590355		1766377		2384931	
   43.4822		5508922		2592184		1826978		2386384	
   43.6819		5506884		2589310		1858517		2384338	
   43.8790		5506362		2589414		1815568		2386760	
   44.0802		5507511		2589048		1832145		2389397	
   44.2761		5501240		2591034		1772243		2379979	
   44.4762		5512946		2589101		1808895		2384446	
   44.6758		5505682		2591818		1837365		2381647	
   44.8704		5497686		2591034		1893069		2381755	
   45.0708		5501397		2591609		1867720		2383477	
   45.2672		5506519		2589623		1812662		2384715	
   45.4688		5507093		2589885		1824449		2386060	
   45.6653		5510020		2590721		1831768		2387514	
   45.8652		5503696		2591034		1780962		2389129	
   46.0638		5500926		2589780		1878053		2385576	
   46.2633		5510072		2591818		1831499		2386060	
   46.4600		5497686		2590616		1780962		2387245	
   46.6602		5500299		2589362		1842586		2388698	
   46.8599		5509968		2591452		1743288		2386384	
   47.0575		5504794		2589466		1800499		2381701	
   47.2540		5511379		2593020		1897106		2383962	
   47.4614		5505264		2589728		1784783		2383962	
   47.6507		5510281		2588996		1824287		2384338	
   47.8522		5507930		2589362		1763094		2386814	
   48.0491		5512842		2591557		1750016		2386222	
   48.2493		5498627		2588055		1742535		2384123	
   48.4465		5508818		2591662		1769499		2388052	
   48.6459		5514567		2589989		1746248		2386222	
   48.8434		5494028		2590564		1839895		2391012	
   49.0396		5507407		2590303		1784137		2387837	
   49.2416		5506466		2590930		1796785		2385684	
   49.4377		5505055		2590251		1840648		2387568	
   49.6380		5505578		2590512		1806150		2387352	
   49.8345		5506936		2588003		1824018		2385415	
   50.0346		5499515		2591243		1750285		2387137	
   50.2313		5501815		2591923		1725528		2390689	
   50.4326		5510072		2590825		1773050		2384231	
   50.6290		5498157		2589466		1836128		2382831	
   50.8303		5502912		2591348		1812178		2383101	
   51.0271		5501867		2590146		1812178		2383423	
   51.2271		5513992		2590093		1808787		2384231	
   51.4236		5512685		2589937		1838711		2385199	
   51.6240		5519741		2591662		1828808		2386491	
   51.8205		5504689		2591296		1812877		2387890	
   52.0219		5507146		2590825		1771490		2385792	
   52.2176		5510386		2587690		1757012		2379656	
   52.4163		5496327		2588212		1702331		2385738	
   52.6158		5510752		2590146		1843932		2390366	
   52.8120		5499881		2589885		1809540		2385092	
   53.0127		5499097		2591034		1823426		2383585	
   53.2101		5503331		2592393		1821866		2380356	
   53.4100		5512529		2590878		1767991		2386975	
   53.6064		5505578		2591243		1820143		2386599	
   53.8079		5506362		2590407		1854265		2385038	
   54.0052		5505055		2591504		1776980		2384715	
   54.2043		5501710		2589571		1819336		2385899	
   54.4040		5504428		2590198		1750392		2383639	
   54.6022		5502494		2591609		1733062		2386330	
   54.7991		5506989		2592550		1793825		2383854	
   55.0000		5509863		2589519		1822888		2384877	
   55.1963		5507930		2591400		1811263		2386168	
   55.3969		5514306		2586801		1773373		2383585	
   55.5944		5503696		2591243		1822188		2386007	
   55.7943		5509027		2591191		1811586		2387083	
   55.9912		5507041		2591139		1832952		2387191	
   56.1889		5501554		2590878		1806742		2387029	
   56.3889		5498313		2590303		1846300		2384607	
   56.5849		5498679		2591766		1817829		2382670	
   56.7882		5500090		2590668		1808679		2385092	
   56.9820		5507041		2587690		1739521		2381863	
   57.1823		5508922		2589623		1740920		2377934	
   57.3785		5504637		2588212		1877246		2382455	
   57.5798		5510752		2589362		1831499		2386437	
   57.7765		5508347		2591504		1784460		2386384	
   57.9768		5503331		2588682		1795332		2385415	
   58.1731		5503122		2592236		1792695		2384500	
   58.3745		5499463		2591452		1835213		2385684	
   58.5711		5506257		2589257		1724074		2386599	
   58.7715		5493192		2591452		1807980		2380356	
   58.9680		5507721		2588108		1802436		2381755	
   59.1697		5505996		2591766		1829723		2380194	
   59.3658		5512529		2589310		1758627		2382562	
   59.5661		5501867		2591296		1786398		2389021	
   59.7630		5503749		2591923		1833167		2383262	
   59.9630		5505944		2591609		1808895		2387890	
   60.1600		5506362		2590564		1801468		2384607	
   60.3564		5507668		2592393		1861692		2386114	
